Date,Open,High,Low,Close,Adj Close,Volume
2019-03-06,235.000000,235.500000,233.500000,234.000000,203.383377,20433226
2019-03-07,235.000000,235.000000,233.000000,234.000000,203.383377,17126192
2019-03-08,231.000000,231.500000,229.000000,230.000000,199.906723,22190659
2019-03-11,228.000000,230.500000,227.500000,230.500000,200.341309,23200793
2019-03-12,233.000000,237.000000,232.500000,235.500000,204.687103,23588085
2019-03-13,234.000000,237.000000,234.000000,237.000000,205.990875,20500195
2019-03-14,239.000000,239.000000,234.000000,234.500000,203.817963,17175356
2019-03-15,237.000000,239.500000,235.500000,239.000000,207.729187,33649729
2019-03-18,239.500000,241.000000,239.000000,241.000000,209.467499,26856532
2019-03-19,239.000000,240.500000,238.000000,240.500000,209.032913,14479009
2019-03-20,242.000000,242.000000,239.500000,242.000000,210.336685,22975971
2019-03-21,242.500000,245.500000,241.000000,245.500000,213.378693,26179502
2019-03-22,248.000000,248.500000,244.500000,248.500000,215.986176,22931467
2019-03-25,240.500000,243.500000,240.500000,241.500000,209.902054,19211254
2019-03-26,243.000000,244.000000,241.000000,244.000000,212.075012,19920170
2019-03-27,242.000000,242.500000,240.500000,241.500000,209.902054,22590089
2019-03-28,240.500000,242.500000,240.000000,242.000000,210.336685,13933054
2019-03-29,243.000000,245.500000,240.500000,245.500000,213.378693,28220810
2019-04-01,251.000000,251.000000,245.000000,245.500000,213.378693,35330656
2019-04-02,249.500000,249.500000,246.000000,246.000000,213.813278,24105053
2019-04-03,249.000000,249.000000,246.500000,246.500000,214.247864,24945323
2019-04-08,251.000000,253.000000,250.500000,253.000000,219.897415,45184821
2019-04-09,253.000000,254.000000,252.000000,254.000000,220.766541,22355674
2019-04-10,253.000000,254.500000,252.000000,254.000000,220.766541,25849934
2019-04-11,253.000000,254.000000,251.500000,252.000000,219.028275,24896840
2019-04-12,251.500000,253.000000,251.000000,252.000000,219.028275,13548148
2019-04-15,255.000000,256.000000,254.000000,255.500000,222.070313,17192002
